size,time_µs
250,25032677
250,25032832
250,25033742
250,25031551
250,25030667
250,25034138
250,25031538
250,25034083
250,25034464
250,25033129
250,25032403
250,25030423
250,558719
250,6040
250,4171
250,4121
250,4314
250,4099
250,3926
250,3795
250,3927
250,4007
250,4034
250,4319
250,3972
250,4136
250,4063
250,4197
250,4091
250,3984
250,3957
250,4054
250,3982
250,4166
250,3810
250,3925
250,4212
250,4020
250,3864
250,3969
250,4072
250,3947
250,4001
250,4035
250,3961
250,3936
250,3844
250,3860
250,4162
250,4147
250,4030
250,3886
250,3937
250,3943
250,3975
250,3966
250,3837
250,3798
250,3798
250,3916
250,3796
250,4014
250,4128
250,3801
250,3807
250,4021
250,3860
250,3773
250,3818
250,3787
250,4104
250,3818
250,3810
250,4007
250,3808
250,3926
250,4063
250,3759
250,3791
250,4012
250,3854
250,3869
250,3872
250,3963
250,3925
250,3928
250,3860
250,3824
250,3999
250,3825
250,3784
250,4109
250,3934
250,3914
250,3759
250,3888
250,4030
250,3986
250,3896
250,3884
250,3992
250,4090
250,3837
250,3905
250,4355
250,4067
250,3780
250,4206
250,3951
250,4180
250,4093
250,4075
250,3854
250,4002
250,3855
250,3973
250,3925
250,3921
250,3837
250,4191
250,3896
250,4073
250,4359
250,3863
250,3991
250,4065
250,4389
250,3918
250,3853
250,4062
250,4070
250,4400
250,3823
250,4095
250,4020
250,3853
250,4205
250,4128
250,4021
250,4007
250,4397
250,4023
250,3945
250,3886
250,4037
250,4175
250,4103
250,4218
250,4004
250,3907
250,4051
250,4098
250,4348
250,3798
250,3925
250,4028
250,4316
250,4128
250,4039
250,4235
250,3902
250,3851
250,3926
250,4263
250,4000
250,3791
250,4267
250,3838
250,3967
250,4310
250,4309
250,3903
250,3940
250,4366
250,3850
250,4037
250,4102
250,4152
250,4100
250,3895
250,4022
250,4084
250,3739
250,4021
250,4120
250,4142
250,4400
250,3866
250,4046
250,3944
250,3873
250,3941
250,4070
250,4367
250,4055
250,3929
250,4147
250,3933
250,4103
250,4094
250,3950
250,4179
250,3846
250,4371
250,3937
250,3784
250,4022
250,3949
250,3883
250,3982
250,3831
250,4033
250,3813
250,3872
250,4397
250,3857
250,4088
250,3889
250,4124
250,3910
250,4396
250,3869
250,3775
250,4156
250,4509
250,3871
250,3853
250,3873
250,4153
250,4050
250,3801
250,4324
250,3822
250,4159
250,4161
250,3858
250,4081
250,3891
250,4005
250,3816
250,4142
250,4273
250,3811
250,4105
250,3982
250,4066
250,4021
250,4075
250,3985
250,4228
250,3981
250,4045
250,3916
250,4261
250,3956
250,3912
250,4181
250,3809
250,4110
250,4042
250,3799
250,4395
250,3879
250,4073
250,4060
250,3843
250,4332
250,3943
250,3959
250,4081
250,4103
250,4306
250,3880
250,4012
250,4047
250,3758
250,4462
250,3998
250,3822
250,3808
250,4125
250,3896
250,4114
250,4304
250,3972
250,3780
250,3752
250,4289
250,3813
250,4086
250,4119
250,3941
250,4090
250,3822
250,4214
250,4096
250,3942
250,4130
250,3859
250,4125
250,3784
250,4163
250,4274
250,3856
250,4070
250,3907
250,4087
250,3968
250,3930
250,4144
250,4043
250,10020
250,4242
250,3933
250,4199
250,4368
250,3928
250,4067
250,3854
250,3927
250,3752
250,4199
250,4024
250,3994
250,3975
250,4054
250,3952
250,4120
250,3828
250,4039
250,4267
250,3790
250,3956
250,4190
250,3848
250,4001
250,4159
250,3986
250,3899
250,4088
250,3835
250,4112
250,4422
250,3977
250,3920
250,3922
250,3879
250,4244
250,3961
250,3788
250,4038
250,4067
250,3910
250,3932
250,4019
250,3976
250,4493
250,4016
250,3862
250,3932
250,3944
250,3947
250,3957
250,3874
250,11488
250,4503
250,3790
250,3779
250,4152
250,3978
250,4102
250,3868
250,3948
250,3814
250,4357
250,4059
250,3849
250,3753
250,4210
250,3930
250,3957
250,3887
250,4008
250,4061
250,3934
250,4173
250,3898
250,3799
250,4373
250,11340
250,4472
250,3726
250,4104
250,3933
250,3858
250,3896
250,4330
250,3991
250,4104
250,4029
250,3968
250,3953
250,3841
250,3878
250,4068
250,3884
250,3808
250,3826
250,4164
250,3837
250,3931
250,4147
250,3867
250,3994
250,3995
250,3789
250,3977
250,4142
250,3903
250,3792
250,4384
250,4010
250,3896
250,3879
250,3850
250,3902
250,4104
250,3828
250,4512
250,3825
250,3841
250,3823
250,3818
250,3877
250,4208
250,3981
250,3819
250,3920
250,4051
250,3938
250,3951
250,3877
250,4121
250,3882
250,3908
250,3851
250,4137
250,3866
250,4227
250,3917
250,3876
250,3888
250,4226
250,3809
250,4030
250,3893
250,3843
250,4213
250,3752
250,4083
250,3819
250,3857
250,4309
250,4023
250,3908
250,3828
250,3824
250,4107
250,3971
250,3819
250,3940
250,4092
250,3894
250,4020
250,3924
250,3966
250,3974
250,3977
250,4033
250,3840
250,3791
250,4230
250,4009
250,3842
250,4023
250,3977
250,3917
250,3887
250,3810
250,3835
250,3819
250,4253
250,3983
250,3947
250,3876
250,3960
250,3821
250,3721
250,4005
250,4096
250,3751
250,3920
250,3996
250,3933
250,3933
250,3753
250,4348
250,4008
250,3930
250,3799
250,3950
250,4063
250,3788
250,3911
250,4019
250,3933
250,3845
250,3793
250,4129
250,4011
250,3848
250,3821
250,3845
250,4247
250,3929
250,3834
250,3832
250,3835
250,4120
250,3948
250,3920
250,3888
250,3880
250,4152
250,4013
250,3910
250,3827
250,3834
250,3845
250,3806
250,4199
250,3840
250,3858
250,3919
250,3804
250,4372
250,3927
250,3926
250,3958
250,3873
250,3878
250,3899
250,3859
250,3820
250,3720
250,3836
250,4184
250,3825
