N,time_µs
500,25037461
500,25037325
500,25038664
500,25035566
500,25037689
500,25038365
500,25035242
500,25037673
500,25036760
500,25030049
500,25036850
500,25035440
500,25035542
500,25037914
500,25035450
500,25032551
500,25037255
500,25031608
500,25037745
